Date,Song 1,Song 2,Song 3
1/7/24,Book of Mormon Stories v1 (Puzzle Game),The Iron Rod v1 (Puzzle Game),Books in the  Book of Mormon (Puzzle Game)
1/14/24,Book of Mormon Stories v1 (Puzzle Game),The Iron Rod v1 (Puzzle Game),Nephi's Courage (Puzzle Game)
1/21/24,Book of Mormon Stories v1 (Puzzle Game),The Iron Rod v1 (Puzzle Game),Nephi's Courage (Puzzle Game)
1/28/24,Book of Mormon Stories v8 (Puzzle Game),The Iron Rod v1 (Puzzle Game),Nephi's Courage (Puzzle Game)
2/4/24,Gethsemane Bridge (Puzzle Game),Gethsemane Chorus (Puzzle Game),Book of Mormon Stories v8 (Puzzle Game)
2/11/24,Gethsemane Bridge (Puzzle Game),Gethsemane Chorus (Puzzle Game),Book of Mormon Stories v8 (Puzzle Game)
2/18/24,Gethsemane v1 (Puzzle Game),Home Can Be a Heaven on Earth v1 (Puzzle Game),Book of Mormon Stories v8 (Puzzle Game)
2/25/24,Gethsemane v1 (Puzzle Game),Home Can Be a Heaven on Earth v1 (Puzzle Game),Book of Mormon Stories v8 (Puzzle Game)
3/3/24,Gethsemane v1 (Puzzle Game),We'll Bring the World His Truth Chorus (Puzzle Game),Home Can Be a Heaven on Earth v1 (Puzzle Game)
3/10/24,Gethsemane v2 (Puzzle Game),We'll Bring the World His Truth Chorus (Puzzle Game),Home Can Be a Heaven on Earth v1 (Puzzle Game)
3/17/24,Gethsemane v2 (Puzzle Game),We'll Bring the World His Truth Chorus (Puzzle Game),Home Can Be a Heaven on Earth v1 (Puzzle Game)
3/24/24,Gethsemane v2 (Puzzle Game),Gethsemane All (Puzzle Game),Home Can Be a Heaven on Earth v1 (Puzzle Game)
3/31/24,Home Can Be a Heaven on Earth (Puzzle Game), (Puzzle Game),We'll Bring the World his Truth Chorus (Puzzle Game)
4/7/24, (Puzzle Game), (Puzzle Game), (Puzzle Game)
4/14/24,Book of Mormon Stories v3 (Puzzle Game),We'll Bring the World his Truth v1 (Puzzle Game),Home Can Be A Heaven on Earth (Puzzle Game)
4/21/24,Book of Mormon Stories v3 (Puzzle Game),We'll Bring the World his Truth v1 (Puzzle Game),Liahona Chorus (Puzzle Game)
4/28/24,Book of Mormon Stories v3 (Puzzle Game),We'll Bring the World his Truth v1 (Puzzle Game),Liahona Chorus (Puzzle Game)
5/5/24,Book of Mormon Stories v3 (Puzzle Game),We'll Bring the World his Truth v1 (Puzzle Game),Home Can Be a Heaven on Earth (Puzzle Game)
5/12/24,Liahona v1 (Puzzle Game),Liahona Chorus (Puzzle Game),We'll Bring the World his Truth v2 (Puzzle Game)
5/19/24,Liahona v1 (Puzzle Game),"Search, Ponder, and Pray v1 (Puzzle Game)",We'll Bring the World his Truth v2 (Puzzle Game)
5/26/24,Liahona v1 (Puzzle Game),"Search, Ponder, and Pray v1 (Puzzle Game)",We'll Bring the World his Truth v2 (Puzzle Game)
6/2/24, (Puzzle Game), (Puzzle Game), (Puzzle Game)
6/9/24,Liahona v1 (Puzzle Game),"Search, Ponder, and Pray v1 (Puzzle Game)",We'll Bring the World his Truth v2 (Puzzle Game)
6/16/24,Liahona v2 (Puzzle Game),"Search, Ponder, and Pray v1 (Puzzle Game)","Search, Ponder, and Pray v2 (Puzzle Game)"
6/23/24,Liahona v2 (Puzzle Game),BOM Stories v5 (Puzzle Game),"Search, Ponder, and Pray v2 (Puzzle Game)"
6/30/24,Liahona v2 (Puzzle Game),BOM Stories v5 (Puzzle Game),"Search, Ponder, and Pray v2 (Puzzle Game)"
7/7/24,Liahona v2 (Puzzle Game),BOM Stories v5 (Puzzle Game),"Search, Ponder, and Pray v2 (Puzzle Game)"
7/14/24,Liahona v3 (Puzzle Game),BOM Stories v5 (Puzzle Game),Liahona v1 review (Puzzle Game)
7/21/24,Liahona v3 (Puzzle Game),We'll Bring the World his Truth v3 (Puzzle Game),BOM Stories v3 (Puzzle Game)
7/28/24,Liahona v3 (Puzzle Game),We'll Bring the World his Truth v3 (Puzzle Game),Liahona v2 review (Puzzle Game)
8/4/24,Liahona v3 (Puzzle Game),We'll Bring the World His Truth v3 (Puzzle Game),BOM Stories v 8 review (Puzzle Game)
8/11/24,Liahona All (Puzzle Game),We'll Bring the World His Truth v3 (Puzzle Game),BOM Stories v7 (Puzzle Game)
8/18/24,We'll Bring the World His Truth All (Puzzle Game),BOM Stories v7 (Puzzle Game),Faith V1 (Puzzle Game)
8/25/24,Search Ponder and Pray All (Puzzle Game),BOM Stories v7 (Puzzle Game),Faith v1 (Puzzle Game)
9/1/24,Liahona All (Puzzle Game),BOM Stories v7 (Puzzle Game),Faith v1 (Puzzle Game)
9/8/24,Book of Mormon Stories All (Puzzle Game),BOM Stories v7 (Puzzle Game),Faith v1 (Puzzle Game)
